tick,symbol,real_mid,real_spread,real_bidDepth,real_askDepth,engine_bestBid,engine_bestAsk
0,BTC,56036,0.01,0,0,-1,-1
0,ETH,1970.98,0.15,0,0,-1,-1
0,ADA,1.17075,0.0015,0,0,-1,-1
10,BTC,56036,0.01,0,0,-1,-1
10,ETH,1966.86,0.01,0,0,1966,-1
10,ADA,1.17005,0.0001,0,0,1,5
20,BTC,55936.5,7.01,0,47.74,-1,56038
20,ETH,1966.86,0.01,0,0,1966,1969
20,ADA,1.16875,0.0001,0,0,1,4
30,BTC,55867.3,15.73,0,0,55882,56038
30,ETH,1963.56,0.66,0,0,1966,1969
30,ADA,1.1668,0.0006,0,0,1,2
40,BTC,55881.6,13.61,2793.12,6567.84,55882,56038
40,ETH,1966.3,0.93,0.08,0,1966,1969
40,ADA,1.16705,0.0007,0,0,1,2
50,BTC,55936.9,10.96,0,0,-1,55846
50,ETH,1967.11,0.3,0,1996.01,1966,1969
50,ADA,1.16315,0.0001,0,0,1,2
60,BTC,55894.8,4.28,4386.44,0,55886,55899
60,ETH,1966.12,0.01,0,0,1966,1969
60,ADA,1.16205,0.0001,0,0,1,2
70,BTC,55848.4,14.02,1008.67,1926.16,55847,55848
70,ETH,1964.09,0.67,0,195.85,1966,1967
70,ADA,1.16165,0.0007,0,0,1,2
80,BTC,55831.8,12.27,0,0,-1,55836
80,ETH,1963.88,0.65,0,0,1966,1967
80,ADA,1.1615,0.0008,0,0,1,2
90,BTC,55807.1,31.7,429.98,0,55789,55812
90,ETH,1964.33,0.03,0,0,1966,1967
90,ADA,1.16275,0.0007,0,0,1,2
100,BTC,55884.3,5.11,1720.12,0,55789,55812
100,ETH,1966.18,0.01,0,0,1966,1967
100,ADA,1.16395,0.0007,11075.9,0,1,2
110,BTC,55927.2,7.55,0,0,55789,55812
110,ETH,1967.73,0.83,0,0,1966,1967
110,ADA,1.16575,0.0011,0,0,1,2
120,BTC,55948.7,1.52,0,1368.74,55789,55812
120,ETH,1969.98,0.01,26.88,0,1966,1967
120,ADA,1.1685,0.001,0,96.82,1,2
130,BTC,55972.6,13.87,2215.46,0,55789,55812
130,ETH,1968.88,0.61,0,8.98,1966,1967
130,ADA,1.1702,0.0012,0,0,1,2
140,BTC,55944.4,0.82,0,910.01,55789,55812
140,ETH,1970.78,0.01,0,203.49,1966,1967
140,ADA,1.17165,0.0005,0,0,1,2
150,BTC,55965.1,0.01,0,0,55789,55812
150,ETH,1973.03,0.01,0,0,1966,1967
150,ADA,1.1748,0.0008,0,0,1,2
160,BTC,56000.1,0.01,0,0,55789,55812
160,ETH,1974.42,0.66,0,0,1966,1967
160,ADA,1.17515,0.0013,0,0,1,2
170,BTC,56037.1,0.01,0,0,55789,55812
170,ETH,1973.11,0.78,1850.48,99.5,1966,1967
170,ADA,1.17605,0.0009,0,0,1,2
180,BTC,56013.9,0.01,0,0,55789,55812
180,ETH,1974.39,0.72,0,0,1966,1967
180,ADA,1.17545,0.0009,0,0,1,2
190,BTC,56015,0.01,0,0,55789,55812
190,ETH,1975.23,0.27,0,26.95,1966,1967
190,ADA,1.1721,0.0008,0,0,1,2
200,BTC,55994,0.01,0,0,55789,55812
200,ETH,1971.2,0.4,0,0,1966,1967
200,ADA,1.17035,0.0015,199.75,5979.97,1,2
210,BTC,55944.4,0.01,0,1746.2,55789,55846
210,ETH,1970.38,0.73,0,0,1966,1967
210,ADA,1.17035,0.0015,0,0,1,2
220,BTC,55900,0.01,0,0,55789,55846
220,ETH,1969.33,0.03,0,1389.87,1966,1967
220,ADA,1.1683,0.0014,0,0,1,2
230,BTC,55900,0.01,0,0,55789,55846
230,ETH,1969.94,0.69,0,8.18,1966,1967
230,ADA,1.1651,0.0014,0,0,1,2
240,BTC,55846.6,1.25,0,5768.88,55842,55848
240,ETH,1969.1,0.27,0,0,1966,1967
240,ADA,1.1658,0.0016,0,0,1,2
250,BTC,55806.9,9.43,0,0,55842,55848
250,ETH,1967.97,0.79,0,0,1966,1967
250,ADA,1.16125,0.0005,0,0,1,2
260,BTC,55745.4,9.2,0,0,55842,55848
260,ETH,1963.7,0.4,0,0,1966,1967
260,ADA,1.16395,0.0009,0,0,1,2
270,BTC,55721.4,3.67,0,129405,55815,55848
270,ETH,1966.37,0.51,0,0,1965,1967
270,ADA,1.1669,0.0018,0,0,1,2
280,BTC,55850.1,0.14,5020.69,0,55815,55848
280,ETH,1968.43,0.5,0,0,1965,1967
280,ADA,1.16805,0.0007,0,0,1,2
290,BTC,55900,0.01,0,0,55815,55848
290,ETH,1968.61,0.01,0,0,1965,1967
290,ADA,1.17095,0.0015,0,0,1,2
300,BTC,55900,0.01,0,0,55815,55848
300,ETH,1971.44,0.37,0,0,1965,1967
300,ADA,1.1723,0.0012,0,0,1,2
310,BTC,55974.6,9.63,27.98,0,55815,55854
310,ETH,1972.92,0.94,0,0,1965,1967
310,ADA,1.173,0.001,45.18,0,1,2
320,BTC,56016.9,6.11,0,0,55815,55854
320,ETH,1973.99,0.01,19008.4,0,1965,1967
320,ADA,1.17525,0.0013,0,0,1,2
330,BTC,56098.1,0.01,9989.43,0,55815,55854
330,ETH,1973.89,0.52,0,0,1965,1969
330,ADA,1.1779,0.0012,0,0,1,2
340,BTC,56047.9,0.01,0,0,55815,55854
340,ETH,1977.53,0.9,3705.11,301.89,1965,1969
340,ADA,1.17865,0.0013,0,0,1,2
350,BTC,56100,0.01,0,0,55815,55854
350,ETH,1977.27,0.01,0,0,1965,1969
350,ADA,1.17815,0.0007,0,0,1,2
360,BTC,56100.2,0.37,0,0,55815,55854
360,ETH,1976.68,1.07,0,0,1965,1969
360,ADA,1.1771,0.0006,0,0,1,2
370,BTC,56100,0.01,6685.89,280.5,55815,55888
