tick,symbol,position,avg_price,realized,unrealized,total,mid
0,BTC,0,0,0,0,0,56036
0,ETH,0,0,0,0,0,1970.98
0,ADA,0,0,0,0,0,1.17075
10,BTC,0,0,0,0,0,56036
10,ETH,10,1966,0,8.55,8.55,1966.86
10,ADA,29,1,44,4.93145,48.9314,1.17005
20,BTC,-6,56038,0,609.03,609.03,55936.5
20,ETH,3,1965,34,5.565,39.565,1966.86
20,ADA,22,1,77,3.7125,80.7125,1.16875
30,BTC,5,55867.6,936,-1.275,934.725,55867.3
30,ETH,7,1960,35,24.92,59.92,1963.56
30,ADA,18,1,81,3.0024,84.0024,1.1668
40,BTC,2,55867.6,937.2,27.99,965.19,55881.6
40,ETH,-18,1971.33,119,90.69,209.69,1966.3
40,ADA,15,1,84,2.50575,86.5058,1.16705
50,BTC,-20,55888,894,-978.2,-84.2,55936.9
50,ETH,-9,1971.33,185,38.01,223.01,1967.11
50,ADA,24,1,84,3.9156,87.9156,1.16315
60,BTC,-44,55908.2,1079.41,589.395,1668.8,55894.8
60,ETH,-9,1971.33,185,46.965,231.965,1966.12
60,ADA,28,1,84,4.5374,88.5374,1.16205
70,BTC,-50,55891.7,1629.44,2165.56,3795,55848.4
70,ETH,2,1961,288,6.17,294.17,1964.09
70,ADA,28,1,88,4.5262,92.5262,1.16165
80,BTC,-71,55873.6,1804.13,2971.56,4775.69,55831.8
80,ETH,-8,1967,320,25,345,1963.88
80,ADA,32,1,88,5.168,93.168,1.1615
90,BTC,-80,55861.5,2461.18,4351.42,6812.6,55807.1
90,ETH,-8,1966,340,13.4,353.4,1964.33
90,ADA,24,1,96,3.906,99.906,1.16275
100,BTC,-118,55853.3,2461.18,-3654.63,-1193.45,55884.3
100,ETH,-5,1966,346,-0.925,345.075,1966.18
100,ADA,9,1,147,1.47555,148.476,1.16395
110,BTC,-107,55853.3,2041.52,-7909.6,-5868.07,55927.2
110,ETH,4,1962,372,22.94,394.94,1967.73
110,ADA,-3,4,183,8.50275,191.503,1.16575
120,BTC,-96,55853.3,1043.86,-9159.98,-8116.12,55948.7
120,ETH,-6,1973,416,18.09,434.09,1969.98
120,ADA,8,1,192,1.348,193.348,1.1685
130,BTC,-118,55874,1043.86,-11628.9,-10585,55972.6
130,ETH,-6,1973,416,24.75,440.75,1968.88
130,ADA,6,1,194,1.0212,195.021,1.1702
140,BTC,-118,55874,1043.86,-8306.6,-7262.74,55944.4
140,ETH,-6,1973,416,13.35,429.35,1970.78
140,ADA,7,1,194,1.20155,195.202,1.17165
150,BTC,-130,55881.4,1043.86,-10878.5,-9834.65,55965.1
150,ETH,-7,1973.14,416,0.825,416.825,1973.03
150,ADA,6,1,195,1.0488,196.049,1.1748
160,BTC,-131,55882.3,1043.86,-15426.3,-14382.4,56000.1
160,ETH,-19,1976.05,416,31.02,447.02,1974.42
160,ADA,7,1,195,1.22605,196.226,1.17515
170,BTC,-132,55883.5,1043.86,-20273.7,-19229.9,56037.1
170,ETH,-19,1976.05,416,55.91,471.91,1973.11
170,ADA,8,1,195,1.4084,196.408,1.17605
180,BTC,-124,55885.6,-600.978,-15907.2,-16508.2,56013.9
180,ETH,-21,1975.95,416,32.81,448.81,1974.39
180,ADA,10,1,195,1.7545,196.755,1.17545
190,BTC,-137,55902.2,-600.978,-15459.3,-16060.3,56015
190,ETH,-21,1975.95,416,15.065,431.065,1975.23
190,ADA,16,1,199,2.7536,201.754,1.1721
200,BTC,-137,55902.2,-600.978,-12583.7,-13184.7,55994
200,ETH,-23,1975.7,416,103.4,519.4,1971.2
200,ADA,26,1,199,4.4291,203.429,1.17035
210,BTC,-119,55902.2,-1624.22,-5029.16,-6653.38,55944.4
210,ETH,-21,1975.7,429.391,111.524,540.915,1970.38
210,ADA,24,1,201,4.0884,205.088,1.17035
220,BTC,-122,55904.5,-1763.54,552.145,-1211.39,55900
220,ETH,-21,1975.7,429.391,133.784,563.175,1969.33
220,ADA,22,1,203,3.7026,206.703,1.1683
230,BTC,-122,55904.5,-1763.54,552.145,-1211.39,55900
230,ETH,-21,1975.7,429.391,120.764,550.155,1969.94
230,ADA,24,1,203,3.9624,206.962,1.1651
240,BTC,-111,55904.5,-1187.81,6426.43,5238.62,55846.6
240,ETH,-12,1975.7,525.652,79.2078,604.86,1969.1
240,ADA,26,1,203,4.3108,207.311,1.1658
250,BTC,-102,55904.5,-382.12,9957.83,9575.71,55806.9
250,ETH,-3,1975.7,630.913,23.162,654.075,1967.97
250,ADA,24,1,205,3.87,208.87,1.16125
260,BTC,-104,55902.6,-382.12,16353.5,15971.4,55745.4
260,ETH,6,1962,672,10.2,682.2,1963.7
260,ADA,26,1,205,4.2627,209.263,1.16395
270,BTC,-105,55886.3,1472.53,17308.9,18781.4,55721.4
270,ETH,15,1960,676,95.475,771.475,1966.37
270,ADA,26,1,207,4.3394,211.339,1.1669
280,BTC,-108,55882.7,2203.88,3522.64,5726.52,55850.1
280,ETH,5,1962.8,820,28.15,848.15,1968.43
280,ADA,28,1,207,4.7054,211.705,1.16805
290,BTC,-108,55882.7,2203.88,-1870.34,333.54,55900
290,ETH,7,1964,820,32.235,852.235,1968.61
290,ADA,30,1,207,5.1285,212.129,1.17095
300,BTC,-106,55882.7,2173.24,-1835.71,337.53,55900
300,ETH,7,1964,820,52.115,872.115,1971.44
300,ADA,32,1,207,5.5136,212.514,1.1723
310,BTC,-115,55892.6,2127.27,-9427.84,-7300.57,55974.6
310,ETH,16,1966.25,820,106.72,926.72,1972.92
310,ADA,17,1,258,2.941,260.941,1.173
320,BTC,-116,55902.8,1075.1,-13242.7,-12167.6,56016.9
320,ETH,4,1966.25,949,30.98,979.98,1973.99
320,ADA,27,1,258,4.73175,262.732,1.17525
330,BTC,-130,55923.3,1075.1,-22734.7,-21659.5,56098.1
330,ETH,10,1969.25,966.5,46.4,1012.9,1973.89
330,ADA,29,1,258,5.1591,263.159,1.1779
340,BTC,-130,55923.3,1075.1,-16198.3,-15123.2,56047.9
340,ETH,-4,1980,1064,9.88,1073.88,1977.53
340,ADA,27,1,260,4.82355,264.824,1.17865
350,BTC,-144,55940.7,1075.1,-22940.4,-21865.3,56100
350,ETH,-6,1979,1064,10.41,1074.41,1977.27
350,ADA,29,1,260,5.16635,265.166,1.17815
360,BTC,-148,55945,1075.1,-22965,-21889.9,56100.2
360,ETH,-6,1978.75,1071.5,12.39,1083.89,1976.68
360,ADA,34,1,264,6.0214,270.021,1.1771
370,BTC,-156,55956.1,613.12,-22440.3,-21827.2,56100
370,ETH,-6,1978.75,1071.5,20.64,1092.14,1975.31
370,ADA,46,1,264,8.1627,272.163,1.17745
380,BTC,-138,55956.1,-995.24,-13074.6,-14069.8,56050.9
380,ETH,-9,1978.92,1142.75,27.06,1169.81,1975.91
380,ADA,43,1,267,7.6626,274.663,1.1782
390,BTC,-147,55967.3,-1342.8,-18033.5,-19376.3,56090
390,ETH,3,1976,1196,3.03,1199.03,1977.01
390,ADA,55,1,267,9.889,276.889,1.1798
400,BTC,-150,55970,-1342.8,-17733.5,-19076.3,56088.2
400,ETH,0,0,1202,0,1202,1977.85
400,ADA,72,1,267,12.9564,279.956,1.17995
410,BTC,-139,55970,-2735.11,-18073.2,-20808.3,56100
410,ETH,8,1974,1202,22.84,1224.84,1976.86
410,ADA,69,1,270,12.5304,282.53,1.1816
420,BTC,-142,55973,-2735.11,-18037.2,-20772.3,56100
420,ETH,11,1974.82,1202,41.985,1243.98,1978.63
420,ADA,72,1,270,13.0752,283.075,1.1816
430,BTC,-139,55973,-3110.19,-21040.8,-24151,56124.3
430,ETH,8,1974.82,1217.55,33.5345,1251.08,1979.01
430,ADA,75,1,270,13.7175,283.718,1.1829
440,BTC,-139,55973,-3110.19,-22308.4,-25418.6,56133.5
440,ETH,11,1975.69,1217.55,48.2795,1265.82,1980.08
440,ADA,75,1,270,13.9838,283.984,1.18645
450,BTC,-133,55973,-4136.35,-24536.2,-28672.5,56157.5
450,ETH,4,1978.3,1319.18,9.31818,1328.5,1980.62
450,ADA,81,1,270,15.1834,285.183,1.18745
460,BTC,-133,55973,-4136.35,-26827.1,-30963.4,56174.7
460,ETH,8,1978.65,1319.18,17.0182,1336.2,1980.78
460,ADA,85,1,270,15.5465,285.546,1.1829
470,BTC,-121,55973,-6556.68,-25173.1,-31729.8,56181
470,ETH,4,1978.65,1324.59,0.269091,1324.86,1978.71
470,ADA,89,1,270,16.3404,286.34,1.1836
480,BTC,-113,55973,-7812.9,-16037.2,-23850.1,56114.9
480,ETH,8,1978.82,1324.59,3.60909,1328.2,1979.28
480,ADA,93,1,270,17.0469,287.047,1.1833
490,BTC,-117,55978.2,-7812.9,-12299,-20111.9,56083.3
490,ETH,16,1977.41,1324.59,32.3691,1356.96,1979.43
490,ADA,93,1,270,17.3956,287.396,1.18705
500,BTC,-113,55978.2,-8536.22,-18788.5,-27324.7,56144.4
500,ETH,12,1977.41,1330.94,30.2168,1361.16,1979.93
500,ADA,89,1,274,16.6029,290.603,1.18655
510,BTC,-105,55978.2,-9926.86,-18706.8,-28633.7,56156.3
510,ETH,16,1977.56,1330.94,28.4168,1359.36,1979.34
510,ADA,85,1,278,15.844,293.844,1.1864
